id|Session Duration|End State|Points|date/time
1729710988548|16,04274|TimeOut|0|23/10/2024 16:16:28
1729711282188|16,07068|Completo|0|23/10/2024 16:21:22
1729712757098|16,09839|TimeOut|0|23/10/2024 16:45:57
1729713621239|16,07498|Completo|0|23/10/2024 17:00:21
1729713642356|16,09843|Completo|0|23/10/2024 17:00:42
1729713663427|16,05584|Completo|0|23/10/2024 17:01:03
1729713684490|16,05325|Completo|0|23/10/2024 17:01:24
1729713705549|16,05314|Completo|0|23/10/2024 17:01:45
1729713726642|16,08366|Completo|0|23/10/2024 17:02:06
1729713747749|16,08606|TimeOut|0|23/10/2024 17:02:27
1729713771922|16,11128|Completo|0|23/10/2024 17:02:51
1729713818251|16,065|TimeOut|0|23/10/2024 17:03:38
1729713959497|16,06072|TimeOut|0|23/10/2024 17:05:59
1729714004512|16,0669|TimeOut|0|23/10/2024 17:06:44
1729714032894|16,06485|Completo|0|23/10/2024 17:07:12
1729714054014|16,11717|Completo|0|23/10/2024 17:07:34
1729714075108|16,08719|Completo|0|23/10/2024 17:07:55
1729714244883|16,03574|TimeOut|0|23/10/2024 17:10:44
1729714586095|16,07253|TimeOut|0|23/10/2024 17:16:26
1729715005035|16,04956|TimeOut|0|23/10/2024 17:23:25
1729715082061|16,05441|TimeOut|0|23/10/2024 17:24:42
1729715125399|16,07767|Completo|0|23/10/2024 17:25:25
1729715309775|16,05772|TimeOut|0|23/10/2024 17:28:29
1729715667227|16,10209|Completo|0|23/10/2024 17:34:27
1729716291772|16,06082|TimeOut|0|23/10/2024 17:44:51
1729716342114|16,06189|TimeOut|0|23/10/2024 17:45:42
1729716408706|16,03275|TimeOut|0|23/10/2024 17:46:48
1729716456540|16,13147|TimeOut|0|23/10/2024 17:47:36
1729779991711|16,10024|Completo|0|24/10/2024 11:26:31
1729780012850|16,13245|Completo|0|24/10/2024 11:26:52
1729780159493|16,06215|TimeOut|0|24/10/2024 11:29:19
1729780180610|16,06885|Completo|0|24/10/2024 11:29:40
1729780252034|16,07733|Completo|0|24/10/2024 11:30:52
1729780773087|16,05839|TimeOut|0|24/10/2024 11:39:33
1729781102193|16,0841|Completo|0|24/10/2024 11:45:02
1729781439568|16,10314|Completo|0|24/10/2024 11:50:39
1729781524624|16,04555|TimeOut|0|24/10/2024 11:52:04
1729865968989|16,03909|TimeOut|0|25/10/2024 11:19:28
1729866031405|16,09555|TimeOut|0|25/10/2024 11:20:31
1729868967372|16,06163|TimeOut|0|25/10/2024 12:09:27
1729882891621|9,340667|TimeOut|0|25/10/2024 16:01:31
1729882915347|23,72774|TimeOut|0|25/10/2024 16:01:55
1729885667670|4,003616|TimeOut|0|25/10/2024 16:47:47
1729885671671|4,003881|TimeOut|0|25/10/2024 16:47:51
